step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,A2_stopped,A2_accumulated_waiting_time,A2_average_speed,A3_stopped,A3_accumulated_waiting_time,A3_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,C3_stopped,C3_accumulated_waiting_time,C3_average_speed,D0_stopped,D0_accumulated_waiting_time,D0_average_speed,D1_stopped,D1_accumulated_waiting_time,D1_average_speed,D2_stopped,D2_accumulated_waiting_time,D2_average_speed,D3_stopped,D3_accumulated_waiting_time,D3_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.655036417891033,0,0.0,0.9875179979009573,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9581187836999503,0,0.0,1.0,0,0.0,0.9736150326161037,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,11.377088878870556,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9849457896000393,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5094206737640044,0,0.0,1.0,0,0.0,0.9482476340243602,0,0.0,1.0,0,0.0
15.0,1,1.0,0.125,10.690351962394526,0,0.0,1.0,0,0.0,0.9502477794236763,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9897879097949752,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8208061192408898,0,0.0,1.0,1,1.0,0.00013120548547369335,0,0.0,0.992699808664794,1,1.0
20.0,1,2.0,0.2,11.029971843572849,0,0.0,1.0,0,0.0,0.9319224657741607,0,0.0,1.0,0,0.0,0.9876638665288776,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9252817990438819,0,0.0,1.0,0,2.0,0.9581187836999503,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,2.0,0.49264493393439746,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9597915533147352,1,4.0
25.0,1,7.0,0.5384615384615384,10.297999376687512,0,0.0,1.0,0,0.0,0.9594351975670753,0,0.0,1.0,0,0.0,0.6307575484568128,0,0.0,1.0,0,0.0,1.0,0,0.0,0.32935999681776434,0,0.0,1.0,0,2.0,0.9895012870581376,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,7.0,0.0,0,2.0,0.9643575395113685,0,0.0,1.0,0,0.0,0.76970691978753,1,11.0
30.0,4,19.0,1.2666666666666666,8.250534360399003,0,0.0,1.0,0,0.0,1.0,0,0.0,0.986014243565536,1,2.0,0.45521643284293734,0,0.0,1.0,0,0.0,1.0,1,4.0,9.500102505932441e-05,0,0.0,0.9518964625173624,0,2.0,0.9215687838434978,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,12.0,0.0,0,2.0,0.9948936917035163,0,1.0,0.41805396652602284,1,1.0,0.647952982162095,4,24.0
35.0,3,22.0,1.2222222222222223,8.572115378642637,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9080469349880186,1,7.0,0.19441242769118536,0,0.0,0.7989247495577304,0,0.0,1.0,1,9.0,0.0,0,0.0,0.939592756365707,0,0.0,0.937380068165671,0,0.0,0.980846122921066,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.32311245076397915,0,0.0,0.9296241747635137,1,6.0,0.34663331145948295,3,22.0
40.0,2,15.0,0.75,9.31834593402471,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9194039651317018,0,0.0,0.548561161333836,0,0.0,0.9346147903155336,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8359830450817326,0,2.0,0.9676107166678557,0,0.0,0.9477509103531403,0,0.0,1.0,0,0.0,0.9772345154231635,0,0.0,0.9301016963208201,1,4.0,0.0,0,0.0,0.9425519223579473,1,11.0,0.21839281966160354,2,17.0
45.0,5,32.0,1.391304347826087,9.098420880181978,0,0.0,1.0,0,0.0,1.0,1,5.0,0.6063770909295456,0,0.0,0.9386897844446677,0,0.0,0.9740720663082072,0,2.0,0.9146552553288996,0,0.0,1.0,1,2.0,0.4907643017908699,0,2.0,0.9884113242843079,0,0.0,0.8283363111001514,0,0.0,1.0,0,0.0,0.9936157160665631,0,0.0,0.08356303164819591,1,9.0,0.6175059506639035,0,0.0,0.9761921265785507,2,18.0,0.0007071153321824112,5,38.0
