step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,A2_stopped,A2_accumulated_waiting_time,A2_average_speed,A3_stopped,A3_accumulated_waiting_time,A3_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,C3_stopped,C3_accumulated_waiting_time,C3_average_speed,D0_stopped,D0_accumulated_waiting_time,D0_average_speed,D1_stopped,D1_accumulated_waiting_time,D1_average_speed,D2_stopped,D2_accumulated_waiting_time,D2_average_speed,D3_stopped,D3_accumulated_waiting_time,D3_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.416028665915496,0,0.0,0.9898890249796934,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9336214328207986,0,0.0,1.0,0,0.0,0.9076881183625307,0,0.0,1.0,0,0.0
10.0,1,1.0,0.2,10.666231210312654,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9997892117087132,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,1.0,0.46311165943141125,0,0.0,1.0,0,0.0,0.7718686469078303,0,0.0,1.0,1,1.0
15.0,1,6.0,0.75,11.035541433557665,0,0.0,1.0,0,0.0,0.9381923142391215,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9360230374106794,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,6.0,0.5375723914401949,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9446105311953695,1,6.0
20.0,1,11.0,1.1,12.178882313091695,0,0.0,1.0,0,0.0,0.9237389118450801,0,0.0,1.0,0,0.0,0.916088487799207,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9407460260302095,0,0.0,1.0,0,0.0,0.8492222216061319,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,11.0,0.419228100694188,0,0.0,0.939489883799517,0,0.0,1.0,0,0.0,0.9594704504052813,1,11.0
25.0,0,0.0,0.0,11.200163169223968,0,0.0,1.0,0,0.0,0.7054632844170181,0,0.0,1.0,0,0.0,0.7565167144085984,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9368636014167948,0,0.0,1.0,0,0.0,0.9818031885265153,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9354534605738022,0,0.0,1.0,0,0.0,0.9420182100066091,0,0.0
30.0,2,4.0,0.26666666666666666,9.407116964226415,0,0.0,1.0,0,0.0,1.0,0,1.0,0.5957934202055191,1,3.0,0.46890597710458365,0,0.0,1.0,0,0.0,0.9373374305065137,0,0.0,1.0,0,0.0,0.9929518402309773,0,2.0,0.8204922671779818,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.01473828252510448,0,0.0,0.7166284857486018,1,1.0,0.5634734101069371,2,7.0
35.0,3,10.0,0.5555555555555556,9.93732517570204,0,0.0,1.0,0,0.0,1.0,0,1.0,0.9050090399946459,0,0.0,0.7086582211937148,0,0.0,0.9997979194042498,0,0.0,0.9368636014167948,0,0.0,1.0,0,0.0,0.910907546010467,1,6.0,0.6358124268930211,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,5.0,0.0,0,0.0,0.9451889104934399,0,0.0,0.5663058025766042,2,12.0
40.0,2,19.0,0.95,10.765599274226195,0,0.0,1.0,0,0.0,1.0,0,3.0,0.8978929153259227,0,0.0,0.9056950304788876,0,0.0,0.9868303052892224,0,0.0,0.9341371726000627,0,0.0,1.0,0,0.0,0.7817760764790246,1,11.0,0.46325623601936666,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9997830916457427,0,0.0,0.9262308251866966,1,10.0,0.0,0,4.0,0.6780922482992872,0,0.0,0.9324074485875891,2,28.0
45.0,3,18.0,0.782608695652174,8.922039365365517,0,0.0,1.0,0,0.0,1.0,0,3.0,0.7153645910499458,0,0.0,1.0,0,0.0,0.7557933617982971,0,0.0,0.016660221452004763,0,0.0,0.9367899453030009,1,2.0,0.6361445608635417,1,5.0,0.0,0,0.0,0.9350163627863488,0,0.0,1.0,0,0.0,0.9297739260459785,0,0.0,1.0,0,0.0,0.9408708668104562,1,6.0,0.5866029426989666,0,0.0,1.0,3,16.0
