step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,10.949710103009247,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9398130027496753,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,10.390775860383265,0,0.0,0.961759934359703,0,0.0,1.0,0,0.0,0.6365281051875674,0,0.0,0.9714605950590549,0,0.0
15.0,2,3.0,0.375,6.362445721595105,0,0.0,0.8268993228564461,0,0.0,1.0,2,3.0,0.32707655911803274,0,0.0,0.06199370823857918,2,3.0
20.0,1,5.0,0.5,8.943575440302764,0,0.0,0.9324886925330176,0,0.0,0.9649231050275769,0,0.0,0.7308871919598857,1,5.0,1.0929035585698953e-05,1,5.0
25.0,1,3.0,0.23076923076923078,9.314199518033467,0,2.0,0.9370771776277927,0,0.0,0.7955643963890959,1,3.0,0.32117035478877665,0,0.0,0.9070294784580498,1,5.0
30.0,0,0.0,0.0,8.460193735637933,0,2.0,0.7779780980022725,0,0.0,0.2734828239720169,0,5.0,0.7077878873840117,0,0.0,0.9630169776417286,0,7.0
35.0,0,0.0,0.0,10.687522186380582,0,4.0,0.8482820080119343,0,0.0,0.8788249350495224,0,2.0,0.9780453578398993,0,0.0,1.0,0,6.0
40.0,1,4.0,0.23529411764705882,9.927602621818131,1,6.0,0.7623619342052443,0,0.0,0.5908518741913614,0,2.0,0.6281061959688315,0,0.0,1.0,1,8.0
45.0,3,7.0,0.4375,8.022563245977494,1,3.0,0.6237275779887318,2,6.0,0.31068518773543674,0,0.0,0.981579161824092,0,0.0,0.9318679348847406,3,9.0
50.0,1,6.0,0.35294117647058826,8.822596504807523,1,6.0,0.7125425066485493,0,0.0,0.29298778958224475,0,0.0,0.9651462076656244,0,0.0,0.5250025082522475,1,6.0
55.0,0,0.0,0.0,10.292308891398434,0,2.0,0.7361627630706864,0,0.0,0.9934428198116443,0,0.0,0.8933270479464083,0,0.0,0.975257814562752,0,2.0
60.0,1,5.0,0.2631578947368421,8.65834078612039,1,7.0,0.6155414256071658,0,1.0,0.9422608414356614,0,2.0,0.6224651795401525,0,0.0,0.6851310120529652,1,10.0
65.0,4,20.0,0.9523809523809523,9.362902351951695,1,12.0,0.5988800786620295,0,1.0,0.9872397902165674,2,11.0,0.5752329022625038,0,0.0,0.9551528650264007,3,24.0
70.0,0,0.0,0.0,8.198634004933613,0,4.0,0.4997315150508504,0,1.0,0.966417710031581,0,3.0,0.7332882510761194,0,0.0,0.9918417715255199,0,8.0
75.0,5,11.0,0.5,7.607834008628559,2,8.0,0.2474375380294023,1,4.0,0.7822574600126111,2,9.0,0.615757671145017,0,3.0,0.46283335082624133,5,24.0
80.0,3,22.0,0.9565217391304348,9.834363678157137,0,3.0,0.6745708160622957,1,9.0,0.7531884576965777,2,23.0,0.6691204360339534,0,3.0,0.9500152975332331,3,38.0
85.0,1,11.0,0.4230769230769231,9.901483652852145,0,2.0,0.8334401023108782,1,12.0,0.689032006685186,0,5.0,0.8259682812603935,0,3.0,0.8009780279052029,1,22.0
90.0,5,32.0,1.1851851851851851,8.569012179463481,0,0.0,0.9463051268211146,1,17.0,0.315588260280737,2,12.0,0.5719970701155284,1,3.0,0.3193555034446428,4,32.0
95.0,0,0.0,0.0,9.330521117434579,0,0.0,0.877986214103708,0,2.0,0.509552891639185,0,4.0,0.6113800133195295,0,0.0,0.8813328278619107,0,6.0
100.0,2,9.0,0.34615384615384615,10.050827844920665,0,4.0,0.6367303849569665,0,2.0,0.7707987248894637,2,13.0,0.42912926779795413,0,0.0,0.9472844692894059,2,19.0
105.0,2,6.0,0.2857142857142857,8.715287016424506,2,10.0,0.46773264315652757,0,2.0,0.9451825989210151,0,0.0,0.6634333225337566,0,0.0,0.7466461080654474,2,12.0
110.0,6,24.0,1.0909090909090908,8.096304321462622,2,20.0,0.568630056661027,0,2.0,0.9456062721654541,0,0.0,0.957741109987817,4,8.0,0.00040058786048347076,6,30.0
115.0,4,4.0,0.18181818181818182,7.244860975518278,1,11.0,0.059152321298541886,1,5.0,0.5569338797461271,0,0.0,0.9432316268407615,0,0.0,0.9524400306946226,2,16.0
120.0,3,13.0,0.5909090909090909,8.98545245710131,2,11.0,0.3220035086498129,0,6.0,0.5752630786171331,1,4.0,0.7086108633768441,0,0.0,0.9575802848050625,3,21.0
125.0,3,26.0,1.2380952380952381,8.547324304702201,2,16.0,0.4086695945720996,1,11.0,0.7025143163491729,0,2.0,0.6387272156284644,0,0.0,0.6557288908753152,3,29.0
130.0,5,43.0,2.0476190476190474,8.574087457770403,2,26.0,0.5743061745708008,0,4.0,0.9282725747238189,2,9.0,0.35929137459524374,1,5.0,0.49314574110923876,5,44.0
135.0,6,62.0,2.9523809523809526,6.5193146161883435,2,36.0,0.48070699927601934,0,4.0,0.6260433503115664,4,23.0,0.4023452495567329,0,2.0,0.46181285464356986,6,65.0
140.0,7,96.0,4.363636363636363,6.789231899575651,2,46.0,0.016798451636905888,1,5.0,0.491815553941114,3,38.0,0.3829839726965874,1,6.0,0.7483839621478495,7,95.0
145.0,2,10.0,0.4166666666666667,8.914999144281829,0,3.0,0.6466709366457318,0,0.0,0.9644013948212498,0,0.0,0.7264637969262538,1,11.0,0.7590795026450871,1,14.0
150.0,4,25.0,1.0416666666666667,9.907494554379236,0,0.0,0.9605695541904589,0,2.0,0.9374644383863675,1,4.0,0.3617206578870555,2,17.0,0.5448454593669827,3,23.0
155.0,3,12.0,0.6,8.859386779543307,1,2.0,0.5696044064134168,0,2.0,0.9522890472556339,1,9.0,0.20721178650676403,0,3.0,0.7233176492350205,2,16.0
160.0,3,22.0,1.1578947368421053,9.16222617127802,1,16.0,0.7613635123763702,0,4.0,0.7560354785050292,1,14.0,0.6208126052018385,1,1.0,0.6433033054506703,3,35.0
165.0,3,8.0,0.36363636363636365,9.32245868521782,1,11.0,0.6348578693348549,1,7.0,0.7819151432460403,0,0.0,0.7491521067710886,1,3.0,0.5630232841791447,3,21.0
170.0,4,23.0,1.0454545454545454,8.408604557829811,1,16.0,0.4980689106956989,0,2.0,0.802877720414137,1,5.0,0.6295296523771378,2,15.0,0.5527345763849061,4,38.0
175.0,5,27.0,1.125,8.349139944449382,1,10.0,0.46586064554526707,1,4.0,0.5669593793271709,0,2.0,0.7913562811162996,2,25.0,0.6098754502602124,4,41.0
