step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,bottom0_stopped,bottom0_accumulated_waiting_time,bottom0_average_speed,bottom1_stopped,bottom1_accumulated_waiting_time,bottom1_average_speed,left0_stopped,left0_accumulated_waiting_time,left0_average_speed,left1_stopped,left1_accumulated_waiting_time,left1_average_speed,right0_stopped,right0_accumulated_waiting_time,right0_average_speed,right1_stopped,right1_accumulated_waiting_time,right1_average_speed,top0_stopped,top0_accumulated_waiting_time,top0_average_speed,top1_stopped,top1_accumulated_waiting_time,top1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
75.0,19,535.0,16.21212121212121,4.202497194871407,6,219.0,0.0018848859685562085,2,51.0,0.5818985372401766,7,149.0,0.31633666049378445,4,109.0,0.11803057851622789,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8076317592096399,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,19,528.0
80.0,21,635.0,18.676470588235293,4.085434233286179,7,254.0,0.1885316398203135,2,61.0,0.33490880545018953,8,184.0,0.24710255773219827,4,129.0,0.4146971575240211,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9666511269894577,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,21,628.0
85.0,24,747.0,20.75,3.527149796884008,8,289.0,0.18916340799746528,3,75.0,0.0,9,227.0,0.23690442677033707,4,149.0,0.32817751443147297,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6073533241046223,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,24,740.0
90.0,24,866.0,23.405405405405407,3.2305214434497014,7,324.0,0.3423695246549228,3,90.0,0.22180119120186453,10,276.0,0.008507703147500907,4,169.0,0.2848674842473443,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9715287043389381,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,24,859.0
95.0,29,1002.0,25.692307692307693,3.031729996429276,9,363.0,0.22926205358665774,3,105.0,0.39133080575499385,12,334.0,4.488741296112567e-06,5,193.0,0.16667713661531589,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9302983248760502,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,29,995.0
100.0,30,1152.0,29.53846153846154,2.2053040992618214,10,413.0,0.08621028999231779,3,120.0,0.18657490485040937,12,394.0,0.09599519681294302,5,218.0,0.343522474786018,0,0.0,0.3955139509947174,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,30,1145.0
105.0,32,1306.0,31.095238095238095,2.5463866467337084,11,464.0,0.00015617802659784378,4,138.0,0.00010108206038472967,12,454.0,0.21816877196814236,5,243.0,0.26360449214783443,0,0.0,0.9583236234968352,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.4688589575900577,0,0.0,1.0,32,1299.0
110.0,32,1466.0,34.093023255813954,2.9001683688034934,11,519.0,0.07932434373596217,4,158.0,0.19388394876954068,12,514.0,0.24396645957173013,5,268.0,0.16477578972618545,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7947115155008726,0,0.0,0.9086638718644048,0,0.0,1.0,32,1459.0
115.0,33,1627.0,36.15555555555556,2.579853946268781,11,574.0,0.07565100645332898,4,178.0,0.4364597145647744,12,574.0,0.10656249015427714,6,294.0,0.14320216911402414,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9150867831897501,0,0.0,1.0,0,0.0,1.0,33,1620.0
120.0,36,1801.0,39.15217391304348,2.3456723710475633,11,629.0,0.08006465484229476,5,199.0,0.3423534863629764,14,642.0,0.11824287004572559,6,324.0,0.132852265222286,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,36,1794.0
125.0,37,1982.0,41.291666666666664,2.198902397976137,11,684.0,0.016651478639385726,6,225.0,0.37322377481477814,14,712.0,0.047225429074686666,6,354.0,0.17746558006845847,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,37,1975.0
130.0,39,2172.0,43.44,2.216849904112772,12,742.0,4.894588943499106e-06,7,257.0,0.2702250776578377,14,782.0,0.026158667099795044,6,384.0,0.17260086198219124,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9285104626383582,0,0.0,1.0,0,0.0,1.0,39,2165.0
135.0,41,2374.0,47.48,2.2403442258055737,12,802.0,0.07178491775365806,7,292.0,0.26076128311108204,15,857.0,0.1567990828756244,7,416.0,0.0852875710687986,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,41,2367.0
140.0,42,2581.0,50.6078431372549,1.5120640043427458,12,862.0,0.07141176070740424,7,327.0,0.054275732481183496,15,932.0,0.11559910057420636,8,453.0,0.10154732799675607,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,42,2574.0
145.0,44,2792.0,51.7037037037037,2.420490184484813,13,922.0,0.1260388347710587,7,362.0,0.16446201195045684,16,1008.0,0.10879964477912872,8,493.0,0.2701537083188703,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8947375400589155,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,44,2785.0
