step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,A2_stopped,A2_accumulated_waiting_time,A2_average_speed,A3_stopped,A3_accumulated_waiting_time,A3_average_speed,A4_stopped,A4_accumulated_waiting_time,A4_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,B4_stopped,B4_accumulated_waiting_time,B4_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,C3_stopped,C3_accumulated_waiting_time,C3_average_speed,C4_stopped,C4_accumulated_waiting_time,C4_average_speed,D0_stopped,D0_accumulated_waiting_time,D0_average_speed,D1_stopped,D1_accumulated_waiting_time,D1_average_speed,D2_stopped,D2_accumulated_waiting_time,D2_average_speed,D3_stopped,D3_accumulated_waiting_time,D3_average_speed,D4_stopped,D4_accumulated_waiting_time,D4_average_speed,E0_stopped,E0_accumulated_waiting_time,E0_average_speed,E1_stopped,E1_accumulated_waiting_time,E1_average_speed,E2_stopped,E2_accumulated_waiting_time,E2_average_speed,E3_stopped,E3_accumulated_waiting_time,E3_average_speed,E4_stopped,E4_accumulated_waiting_time,E4_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
50.0,5,24.0,0.96,9.500472237184685,0,0.0,1.0,0,0.0,0.9539627006456877,1,8.0,0.0,0,2.0,0.9361111900564851,0,0.0,0.965672443897318,0,0.0,0.947127522243294,0,0.0,0.9368105369299232,1,5.0,1.310250918923697e-05,0,4.0,0.833573054494554,1,2.0,0.0005397972934943357,1,5.0,0.4922153225750766,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9858842198477102,0,0.0,1.0,1,4.0,0.00016685484373313696,0,0.0,0.3451031840189064,0,2.0,0.4254784160760258,0,2.0,0.9406630135165339,0,0.0,1.0,0,0.0,0.0070088760067453446,0,0.0,1.0,0,0.0,0.9475791279999446,0,0.0,1.0,5,34.0
55.0,4,30.0,1.0714285714285714,9.686727724711464,0,0.0,1.0,0,0.0,0.9578863520007288,1,13.0,0.0,0,2.0,0.9520575848132147,0,0.0,0.806016610206581,0,0.0,1.0,0,0.0,0.9171755425335718,0,0.0,1.0,1,6.0,0.5201537684120584,0,0.0,1.0,1,10.0,0.477043570418573,0,0.0,0.5874284253729722,0,0.0,1.0,0,0.0,1.0,0,0.0,0.994297723365008,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9395638368422159,0,2.0,0.9800906110218198,0,4.0,0.5812898563764586,0,0.0,0.8829242450997704,1,5.0,4.745159816866046e-05,0,0.0,1.0,0,0.0,0.8714768573440681,0,0.0,1.0,4,42.0
60.0,4,23.0,0.7666666666666667,9.116490964409115,0,0.0,0.9605449524655372,0,0.0,1.0,1,18.0,0.0,0,2.0,0.6844313873082576,0,0.0,1.0,0,0.0,1.0,0,2.0,0.8926502790312525,0,0.0,0.9100512272161564,0,2.0,0.6765820865500829,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8849206199861454,0,0.0,1.0,0,0.0,0.908072351621129,0,0.0,0.518589412803141,0,2.0,0.9023435599869662,0,0.0,1.0,0,0.0,0.9248161243359674,0,2.0,0.9396607316982253,2,8.0,0.0003160863988295945,0,0.0,0.7571454250172802,0,0.0,1.0,0,0.0,1.0,1,1.0,0.4678644603136207,0,0.0,1.0,4,37.0
65.0,6,47.0,1.46875,9.87198482450793,0,0.0,0.9736690015316398,0,0.0,1.0,1,23.0,0.6978323086316165,0,0.0,0.9538945863951585,0,0.0,1.0,0,0.0,1.0,0,2.0,0.8996857592750552,0,2.0,0.9003226980145418,0,2.0,0.9290121286500383,0,0.0,1.0,0,0.0,1.0,0,2.0,0.9340048161704432,0,0.0,1.0,0,0.0,0.9857109156801305,1,2.0,0.0009257630533256973,0,2.0,0.957039002267497,0,2.0,0.8831626184445466,0,0.0,0.8055837611557711,0,2.0,0.6012423306694747,2,18.0,0.0,1,2.0,0.001480795155953629,0,0.0,1.0,0,0.0,0.9231948671120449,1,6.0,0.45725924431621134,0,0.0,0.9346127838212017,6,65.0
70.0,2,18.0,0.5454545454545454,9.743914002569886,0,0.0,0.8370817702663392,0,0.0,1.0,0,0.0,0.926623449446725,0,1.0,0.957802799833649,0,0.0,0.9321281174870671,0,0.0,1.0,0,2.0,0.9382606007867721,0,2.0,0.9314160667281637,0,2.0,0.7062668243114141,0,1.0,0.914000020269463,0,0.0,1.0,0,2.0,0.6403103818689443,0,0.0,1.0,0,0.0,0.7185806708881505,0,0.0,0.956454881851013,0,2.0,0.7544417782549329,0,0.0,0.9397537017263583,0,0.0,1.0,0,0.0,0.8361095754959447,0,0.0,1.0,1,7.0,0.0,0,0.0,1.0,0,0.0,0.9606791655118642,1,11.0,0.0,0,0.0,0.4777095743986264,2,30.0
75.0,6,19.0,0.5277777777777778,8.652542656049993,1,2.0,0.47980915936670027,0,0.0,1.0,0,0.0,0.3407332667274808,0,1.0,0.6852452303548121,0,0.0,1.0,0,0.0,1.0,0,2.0,0.026743447271581584,1,5.0,0.6399504932905627,1,4.0,0.0008877985826090516,0,3.0,0.9421030083739135,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7607760254919618,0,0.0,1.0,0,2.0,0.9529866666994964,0,0.0,1.0,0,0.0,0.9312788056681001,0,0.0,1.0,1,2.0,0.0006804259657847111,0,1.0,0.6765919800184799,2,5.0,0.0,0,0.0,0.9552222671860048,0,0.0,0.9177463811722637,0,0.0,1.0,0,0.0,0.9857810092962757,6,27.0
80.0,1,4.0,0.1111111111111111,10.384269452991568,0,0.0,1.0,0,0.0,0.8848442564730966,0,0.0,0.3087488404621982,0,1.0,0.7936701544985663,0,0.0,1.0,0,0.0,1.0,1,6.0,6.106943209888743e-05,0,2.0,0.9739839253123118,0,0.0,1.0,0,1.0,0.9259130681250092,0,0.0,1.0,0,0.0,0.9137784313112023,0,2.0,0.9627863063035571,0,2.0,0.21687141980747168,0,2.0,0.9395636697263138,0,0.0,1.0,0,0.0,0.9360620172420794,0,0.0,1.0,0,0.0,0.9445990605574329,0,0.0,0.9441935277143925,0,0.0,0.6349448550993114,0,0.0,0.9528732960432728,0,0.0,0.9174517902366686,0,0.0,0.9705634372940929,0,2.0,0.9435646728662928,1,18.0
85.0,1,2.0,0.05263157894736842,11.759441484346599,0,0.0,1.0,0,3.0,0.7825009450442145,0,2.0,0.9605041051912596,1,2.0,0.6405022137123192,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,4.0,0.7907603199658652,0,0.0,0.9187632236625441,0,1.0,0.6358728376206767,0,0.0,1.0,0,0.0,0.9998485200249074,0,2.0,0.9459946499106792,0,2.0,0.8626615781159889,0,2.0,0.942491473851832,0,2.0,0.9563123159557341,0,0.0,0.9358021564275404,0,0.0,1.0,0,0.0,0.9829896183431251,0,0.0,0.9767061296038397,0,0.0,1.0,0,0.0,0.9478108998644839,0,0.0,1.0,0,0.0,0.9330526077376532,0,2.0,0.9393653573386425,1,22.0
90.0,1,5.0,0.1282051282051282,10.20210123738513,0,0.0,1.0,0,3.0,0.9377781702032945,0,2.0,0.7158823565342837,0,0.0,0.09754034990229436,0,0.0,0.9153813601705201,0,0.0,1.0,0,0.0,1.0,0,2.0,0.9707499037562597,0,0.0,0.9782477789345096,1,6.0,0.4739028811844245,0,0.0,1.0,0,0.0,0.6055071338383478,0,2.0,0.3681966819618008,0,2.0,0.9163218853314146,0,2.0,0.008933721921111162,0,2.0,0.9473684176610636,0,0.0,1.0,0,0.0,1.0,0,0.0,0.42758377280356574,0,0.0,0.7690253481151513,0,0.0,0.9606791655118642,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9356044523020814,0,2.0,0.9400320971134728,1,23.0
95.0,4,12.0,0.3,9.397779246372147,0,0.0,1.0,0,3.0,0.852506968044522,0,2.0,0.8380896291565743,1,4.0,8.245490909209304e-06,0,0.0,0.9481064712053919,0,0.0,0.9361542782250515,0,0.0,1.0,0,2.0,0.7532083425409006,0,0.0,0.9272280171869689,0,0.0,0.6109353895908048,0,0.0,0.8163777302235057,0,0.0,1.0,0,0.0,0.7261477632006724,0,0.0,0.9452406203914769,1,7.0,0.4772533586469283,0,2.0,0.7753901578948611,0,0.0,0.8345995913016626,0,0.0,1.0,1,2.0,0.0005659607386237415,0,0.0,1.0,0,0.0,0.9434074384651759,0,0.0,1.0,0,0.0,1.0,0,0.0,0.4914792894120796,0,0.0,0.9860712749096523,3,22.0
