step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.531908254561975,0,0.0,1.0,0,0.0,1.0,0,0.0,0.983930328475159,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,8.416587876303588,0,0.0,0.9344261906373202,0,0.0,1.0,0,0.0,0.00774196991252895,0,0.0,0.9408719975523401,0,0.0
15.0,1,1.0,0.125,9.791041596546195,0,0.0,0.8438679220963655,0,0.0,1.0,0,0.0,0.9816260321857948,1,1.0,0.4949305944339144,1,1.0
20.0,1,2.0,0.2,9.139505273410432,1,4.0,0.6997629800308268,0,0.0,0.9145493855021659,0,0.0,0.7505738921221123,0,0.0,1.0,1,4.0
25.0,1,1.0,0.07692307692307693,9.785018851308156,0,2.0,0.9563320442968601,0,0.0,0.7903372559439688,1,3.0,0.5874918728703523,0,0.0,0.9441087613293052,1,5.0
30.0,1,6.0,0.4,9.44804626749045,0,2.0,0.6530830072722636,0,0.0,0.9470060223026606,1,8.0,0.6442499957899048,0,0.0,0.9377515966284798,1,10.0
35.0,2,16.0,1.0,9.900741033486216,1,5.0,0.7065260713574674,0,0.0,0.8127604455229,1,13.0,0.5851451721102258,0,0.0,1.0,2,18.0
40.0,2,3.0,0.2,7.762140679395073,0,0.0,0.8710668986572904,1,2.0,0.4000769300400915,1,3.0,0.007596445126155825,0,0.0,0.9447927551114977,2,5.0
45.0,4,19.0,1.1176470588235294,8.614323884791936,1,1.0,0.6340676269360844,2,12.0,0.32329144905778495,1,8.0,0.6633842392952287,0,0.0,0.9656184104995167,4,21.0
50.0,2,18.0,1.125,6.823823971411116,1,6.0,0.5143243560819405,1,13.0,0.23508401446461855,0,0.0,0.9449368085359912,0,0.0,0.7092273094283089,2,19.0
