step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,A2_stopped,A2_accumulated_waiting_time,A2_average_speed,A3_stopped,A3_accumulated_waiting_time,A3_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,C3_stopped,C3_accumulated_waiting_time,C3_average_speed,D0_stopped,D0_accumulated_waiting_time,D0_average_speed,D1_stopped,D1_accumulated_waiting_time,D1_average_speed,D2_stopped,D2_accumulated_waiting_time,D2_average_speed,D3_stopped,D3_accumulated_waiting_time,D3_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.79719924863177,0,0.0,0.8820098764299861,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8951732995138748,0,0.0,1.0,0,0.0,0.9907856930545923,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,9.638260156248737,0,0.0,0.9325151935577745,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9227427902019442,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.4687190111870271,0,0.0,1.0,0,0.0,0.9179803618610723,0,0.0,1.0,0,0.0
15.0,1,5.0,0.625,8.045882411965913,0,0.0,0.014130761300433734,0,0.0,0.945951743716981,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,5.0,0.6155597101435913,0,0.0,1.0,0,0.0,0.007644202223313931,0,0.0,0.9031757656693503,1,5.0
20.0,2,10.0,1.0,9.257109305786058,1,5.0,0.00018116403462922916,0,0.0,0.9629530274238184,0,0.0,1.0,0,0.0,0.9311225706079026,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9002467339077924,0,0.0,1.0,0,0.0,0.6853840866441429,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9574163739991305,0,0.0,1.0,1,5.0,0.0,0,0.0,0.9815078141583258,2,10.0
25.0,1,10.0,0.7692307692307693,9.693372669742784,0,0.0,1.0,0,0.0,0.5008546303884617,0,0.0,1.0,0,0.0,0.556083922683139,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9593501611895611,0,0.0,1.0,0,2.0,0.8742949872349077,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,10.0,0.0,0,0.0,0.852699259009235,1,12.0
30.0,2,5.0,0.3333333333333333,8.984429285339784,0,0.0,1.0,0,2.0,0.940182823486818,0,0.0,0.17980082231550215,1,2.0,0.47135462686468704,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9210354627120266,0,0.0,0.9209330800525691,0,2.0,0.8486472526316885,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,3.0,0.6132656823958852,2,9.0
35.0,2,8.0,0.4444444444444444,9.215476091131908,0,0.0,1.0,0,2.0,0.9488889089185024,0,0.0,0.7688793375264578,1,7.0,0.493651131024198,0,0.0,1.0,0,0.0,0.8996286548047404,0,0.0,1.0,0,0.0,0.9960263245139104,1,1.0,0.46791673166570863,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,2.0,0.9132563812948288,0,2.0,0.6789699631505323,0,0.0,0.609923610966071,2,14.0
40.0,4,21.0,1.05,7.984069064798677,0,0.0,1.0,0,0.0,0.9522146535446517,0,0.0,0.9473255823804296,2,13.0,0.25524014523958344,0,0.0,1.0,0,0.0,0.9425923068990723,0,0.0,1.0,0,0.0,0.5802611965916513,2,8.0,0.008402416037467973,0,0.0,0.9066927607353442,0,0.0,1.0,0,0.0,0.5578687969096654,0,0.0,0.97080272385178,0,2.0,0.947565826083851,0,2.0,0.939246739567866,0,0.0,0.020604858377879297,4,25.0
45.0,2,9.0,0.391304347826087,8.728120613646016,0,0.0,1.0,0,0.0,0.10372048558807659,0,0.0,0.6013245628290292,0,0.0,0.7024645208496555,0,0.0,1.0,0,0.0,0.9964754244739544,0,0.0,0.8970329393738076,1,4.0,0.22339228164797073,0,3.0,0.253913369959065,0,0.0,0.9207035355697365,0,0.0,1.0,0,0.0,0.9037413711934654,0,0.0,1.0,0,2.0,0.8360359980633216,0,2.0,0.9697068860625366,1,5.0,0.0,2,16.0
