step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,A2_stopped,A2_accumulated_waiting_time,A2_average_speed,A3_stopped,A3_accumulated_waiting_time,A3_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,C3_stopped,C3_accumulated_waiting_time,C3_average_speed,D0_stopped,D0_accumulated_waiting_time,D0_average_speed,D1_stopped,D1_accumulated_waiting_time,D1_average_speed,D2_stopped,D2_accumulated_waiting_time,D2_average_speed,D3_stopped,D3_accumulated_waiting_time,D3_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.607951914767725,0,0.0,0.9373487829065689,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9108740702320659,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,10.305356303377957,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9392769224200247,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.5015079606239945,0,0.0,1.0,0,0.0,0.9676054506720174,0,0.0,1.0,0,0.0
15.0,1,4.0,0.5,11.03418032282584,0,0.0,1.0,0,0.0,0.9634093741038224,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9126309709645276,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,4.0,0.6419671736001507,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9751239563899733,1,4.0
20.0,0,0.0,0.0,11.943698744922015,0,0.0,1.0,0,0.0,0.9399487939884541,0,0.0,1.0,0,0.0,0.9528705810797556,0,0.0,1.0,0,0.0,1.0,0,0.0,0.97302236793195,0,0.0,1.0,0,0.0,0.7452261733760494,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.96384697138325,0,0.0,0.9270841589413963,0,0.0,1.0,0,0.0,0.92614103772231,0,0.0
25.0,0,0.0,0.0,11.623951165633503,0,0.0,1.0,0,0.0,0.8775370947706319,0,0.0,1.0,0,0.0,0.965925713343811,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9879459393195325,0,0.0,1.0,0,2.0,0.9215443428566261,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8989955393624287,0,0.0,1.0,0,0.0,0.7293529173130505,0,2.0
30.0,2,6.0,0.4,9.95346405449894,0,0.0,1.0,1,1.0,0.005716357413148081,0,0.0,0.9370733335389337,0,0.0,0.9873256364215381,0,0.0,1.0,0,0.0,1.0,0,0.0,0.08699282303492119,0,0.0,0.9410548926441625,0,2.0,0.9192439704454434,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9676054506720174,0,0.0,0.6551000698638847,1,5.0,0.6355585549910866,2,8.0
35.0,5,23.0,1.2777777777777777,8.426171366494437,0,0.0,1.0,1,6.0,0.0,0,0.0,0.9318920674401828,0,0.0,0.7280170175627354,0,0.0,1.0,0,0.0,1.0,1,4.0,3.2900126818212995e-05,0,0.0,0.9385106412770892,0,2.0,0.5527600066515275,0,0.0,0.9478454027497991,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9722724483253157,0,0.0,1.0,0,0.0,0.9741133381441689,3,13.0,0.243138447346451,5,25.0
40.0,5,39.0,1.95,6.481959566973633,0,0.0,1.0,0,0.0,1.0,0,2.0,0.5029807299794596,1,2.0,0.3110635631811054,0,0.0,1.0,0,0.0,1.0,1,9.0,0.0,0,0.0,0.6055998388561515,0,1.0,0.3054751482937095,0,0.0,0.9603856188454615,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9487607013321486,0,0.0,1.0,0,0.0,0.9884334031972181,3,28.0,0.0,5,42.0
45.0,3,19.0,0.8260869565217391,8.97563881717225,0,0.0,1.0,0,0.0,0.9876986704105187,0,2.0,0.9011989085957707,0,0.0,0.6976713400101482,0,2.0,0.9476088646136788,0,0.0,1.0,1,14.0,0.0,1,3.0,0.3064720159892637,0,0.0,1.0,0,0.0,0.9821160349499214,0,0.0,1.0,0,0.0,1.0,1,2.0,0.49355297922128544,0,0.0,0.9432956494954075,0,2.0,0.7032810979480217,0,10.0,0.26385997640646003,3,35.0
