step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,A2_stopped,A2_accumulated_waiting_time,A2_average_speed,A3_stopped,A3_accumulated_waiting_time,A3_average_speed,A4_stopped,A4_accumulated_waiting_time,A4_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,B4_stopped,B4_accumulated_waiting_time,B4_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,C3_stopped,C3_accumulated_waiting_time,C3_average_speed,C4_stopped,C4_accumulated_waiting_time,C4_average_speed,D0_stopped,D0_accumulated_waiting_time,D0_average_speed,D1_stopped,D1_accumulated_waiting_time,D1_average_speed,D2_stopped,D2_accumulated_waiting_time,D2_average_speed,D3_stopped,D3_accumulated_waiting_time,D3_average_speed,D4_stopped,D4_accumulated_waiting_time,D4_average_speed,E0_stopped,E0_accumulated_waiting_time,E0_average_speed,E1_stopped,E1_accumulated_waiting_time,E1_average_speed,E2_stopped,E2_accumulated_waiting_time,E2_average_speed,E3_stopped,E3_accumulated_waiting_time,E3_average_speed,E4_stopped,E4_accumulated_waiting_time,E4_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,14.030251486128654,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9843227301764387,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.962186086789185,0,0.0,1.0,0,0.0,0.934789331863788,0,0.0
10.0,1,1.0,0.2,11.322075802287227,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,1.0,0.0040810175806901315,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9323302661699565,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9312354753728996,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9434356892049559,0,0.0,1.0,0,0.0,0.9145984024403067,1,1.0
15.0,1,1.0,0.125,9.977059558650653,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,2.0,0.3443074715187879,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9391953007837373,0,0.0,1.0,1,1.0,0.0029523150465246557,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.47500683089982737,0,0.0,1.0,0,0.0,0.8604815059823147,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.899374853869811,1,3.0
20.0,2,10.0,1.0,10.566295535908727,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,2.0,0.9413220573074682,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9203685746424387,0,0.0,1.0,1,6.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,4.0,6.0335306016602525e-05,0,0.0,1.0,0,0.0,0.9545582777634705,0,0.0,1.0,0,0.0,0.7043241059275893,0,0.0,0.9680791462891897,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9196707845624773,2,12.0
25.0,2,13.0,1.0,9.530090520505393,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,2.0,0.9452850146334387,0,0.0,1.0,0,0.0,0.9128159905273858,0,0.0,1.0,0,0.0,0.618964798025267,0,0.0,1.0,1,11.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.672015346969995,0,0.0,1.0,0,0.0,0.9545162825338037,1,2.0,0.0025013260131398476,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9471198486652723,2,15.0
30.0,3,13.0,0.8666666666666667,8.870148061578421,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9066490745422048,0,0.0,0.8858215395820174,0,0.0,1.0,0,0.0,0.9168503096953247,0,0.0,0.7168672223108367,0,0.0,1.0,0,2.0,0.9505827174347462,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,5.0,0.3677454835573312,0,0.0,0.40313301535636514,0,0.0,0.9148507028506435,1,7.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,1.0,0.004381816561244989,3,15.0
35.0,4,19.0,1.0555555555555556,9.427511994990535,0,0.0,1.0,0,0.0,1.0,0,0.0,0.96271565926098,0,0.0,1.0,0,0.0,0.9253638115398933,1,1.0,0.004009196237796563,0,0.0,1.0,0,0.0,0.9335199311035751,0,2.0,0.9727637948294869,0,0.0,1.0,0,2.0,0.9366528656753113,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,12.0,9.398543256383232e-06,0,0.0,0.8252675192444577,0,0.0,0.506294221489327,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,6.0,0.4768006363214672,4,23.0
40.0,4,22.0,1.1,8.712635923024058,0,0.0,1.0,0,0.0,1.0,0,0.0,0.933927210218263,0,0.0,1.0,0,0.0,0.4617225109116542,1,6.0,5.478198289140297e-05,0,0.0,1.0,0,0.0,0.9160944832325593,0,2.0,0.9615991122582042,0,0.0,0.908788657436845,0,0.0,0.6016633741181563,0,0.0,1.0,0,2.0,0.3648644760484221,0,0.0,1.0,0,0.0,1.0,0,2.0,0.9494611349007328,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9361761581341879,1,4.0,0.37886108064769425,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,12.0,0.00030879137167545863,4,28.0
45.0,3,18.0,0.782608695652174,9.172157673082594,0,0.0,1.0,0,0.0,0.9976790201653883,0,0.0,1.0,0,0.0,0.6516876258364968,0,0.0,1.0,1,11.0,0.0,0,0.0,1.0,1,2.0,0.48252582925249615,0,0.0,0.9036688957166094,0,0.0,0.8979187082716115,1,5.0,1.610377689121501e-05,0,0.0,0.9739621023081619,0,0.0,0.8483214065424742,0,0.0,1.0,0,0.0,1.0,0,2.0,0.9171151816326837,0,2.0,0.9263853609326738,0,0.0,1.0,0,0.0,0.6152599873166731,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9831348433864714,0,0.0,1.0,0,0.0,0.9259827109027318,0,0.0,1.0,3,22.0
