step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,A2_stopped,A2_accumulated_waiting_time,A2_average_speed,A3_stopped,A3_accumulated_waiting_time,A3_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,C3_stopped,C3_accumulated_waiting_time,C3_average_speed,D0_stopped,D0_accumulated_waiting_time,D0_average_speed,D1_stopped,D1_accumulated_waiting_time,D1_average_speed,D2_stopped,D2_accumulated_waiting_time,D2_average_speed,D3_stopped,D3_accumulated_waiting_time,D3_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.962926362824211,0,0.0,0.9087689781392322,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9304551273868107,0,0.0,1.0,0,0.0,0.8814455707360069,0,0.0,1.0,0,0.0
10.0,1,1.0,0.2,10.402519115874307,0,0.0,0.9283472613719801,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9298092796317954,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,1.0,0.492784323532312,0,0.0,1.0,0,0.0,0.7693605605738972,0,0.0,1.0,1,1.0
15.0,3,10.0,1.25,8.013739183184796,0,0.0,1.0,0,0.0,0.9101858745518723,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,1.0,0.0003874584526995953,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,6.0,0.633792010228075,0,0.0,1.0,1,3.0,0.0,0,0.0,0.9292067184893371,3,10.0
20.0,2,17.0,1.7,8.83068228601436,0,0.0,1.0,0,0.0,0.951590458696832,0,0.0,1.0,0,0.0,0.9844556982632761,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,6.0,0.0,0,0.0,0.5743552356302575,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,11.0,0.38326907304869645,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9156224103616549,2,17.0
25.0,3,28.0,2.1538461538461537,8.796271042591876,0,0.0,1.0,0,0.0,0.7941853728854458,0,0.0,1.0,0,0.0,0.9996543478967164,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,11.0,0.0,0,0.0,0.9453874011956139,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,17.0,0.0008622780293711723,0,2.0,0.9336059484113307,0,0.0,1.0,0,0.0,0.7106899475729488,3,30.0
30.0,4,20.0,1.3333333333333333,7.725460248880281,0,0.0,1.0,1,2.0,0.025853121238180378,0,0.0,0.905381607102631,0,0.0,0.9767971930723851,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,16.0,0.48826577176779173,0,0.0,0.8936259755060751,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,2.0,0.9855312729244358,0,0.0,1.0,1,1.0,0.5406331024658536,3,21.0
35.0,4,39.0,2.1666666666666665,8.434350297803865,0,0.0,1.0,2,12.0,0.0,0,0.0,0.9256101838217008,0,0.0,0.7229798364753239,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,21.0,0.4960823777707928,0,4.0,0.8841154794883584,0,0.0,0.9281875760059631,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9228497600590625,0,2.0,0.2091923265321002,0,3.0,0.7172010340553643,1,6.0,0.28243126691225395,4,48.0
40.0,6,64.0,3.2,8.445459684679976,0,0.0,1.0,2,17.0,0.0,0,0.0,0.6084090983332751,0,0.0,0.9961673622098559,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,26.0,0.5959271455007478,1,6.0,0.6314263793741178,0,0.0,0.9843504901637643,0,0.0,1.0,0,0.0,0.8756465246659237,0,0.0,0.9543642162579338,1,3.0,6.817973397167681e-05,0,3.0,0.9599570319683395,1,11.0,0.2718093892693505,6,66.0
45.0,2,11.0,0.4782608695652174,7.670151610334908,0,0.0,1.0,0,0.0,1.0,1,6.0,0.204360390682874,0,0.0,0.03246539493371326,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9579896930779065,1,11.0,0.320441326273458,0,0.0,0.9895111814763508,0,0.0,1.0,0,0.0,0.9749826760430251,0,0.0,1.0,0,0.0,0.928330814054494,0,0.0,0.9976151502256061,0,1.0,0.22155868123759248,2,18.0
50.0,1,9.0,0.36,10.04520476656587,0,0.0,1.0,0,0.0,0.9125254385933123,1,13.0,0.6528072999243889,0,0.0,0.9046916183328644,0,0.0,1.0,0,0.0,0.9769122227187037,0,2.0,0.9055116927097606,0,0.0,0.8342088348271829,0,2.0,0.5896412224871661,0,0.0,0.9715138288589963,0,0.0,1.0,0,0.0,0.9660135910007078,0,2.0,0.9358618489073038,0,0.0,0.4932986407241626,0,2.0,0.6590538460473518,0,0.0,1.0,1,21.0
55.0,2,7.0,0.25,11.825906097256723,0,0.0,0.9414941414681511,0,0.0,0.9484710897802849,0,4.0,0.9401820426810767,0,2.0,0.9565688248964889,0,2.0,0.9073071232696925,0,0.0,0.9686349090367863,0,2.0,0.9498170109065626,0,1.0,0.9757318198696269,0,0.0,0.9669468129889052,0,0.0,0.9493211047862128,0,0.0,1.0,1,2.0,0.35252904506071125,0,2.0,0.9886845323572165,0,0.0,0.9594270910688043,1,7.0,0.7298002481564994,0,0.0,1.0,2,22.0
