step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,A2_stopped,A2_accumulated_waiting_time,A2_average_speed,A3_stopped,A3_accumulated_waiting_time,A3_average_speed,A4_stopped,A4_accumulated_waiting_time,A4_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,B4_stopped,B4_accumulated_waiting_time,B4_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,C3_stopped,C3_accumulated_waiting_time,C3_average_speed,C4_stopped,C4_accumulated_waiting_time,C4_average_speed,D0_stopped,D0_accumulated_waiting_time,D0_average_speed,D1_stopped,D1_accumulated_waiting_time,D1_average_speed,D2_stopped,D2_accumulated_waiting_time,D2_average_speed,D3_stopped,D3_accumulated_waiting_time,D3_average_speed,D4_stopped,D4_accumulated_waiting_time,D4_average_speed,E0_stopped,E0_accumulated_waiting_time,E0_average_speed,E1_stopped,E1_accumulated_waiting_time,E1_average_speed,E2_stopped,E2_accumulated_waiting_time,E2_average_speed,E3_stopped,E3_accumulated_waiting_time,E3_average_speed,E4_stopped,E4_accumulated_waiting_time,E4_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.517495127545681,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9307548455115418,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9684716175715419,0,0.0
10.0,0,0.0,0.0,10.556529023187014,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.022747770549842644,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9740962949777046,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9567261226632401,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.905139223295693,0,0.0,1.0,0,0.0,0.971914664519212,0,0.0
15.0,0,0.0,0.0,12.146681757856202,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,1.0,0.43991190982484013,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9739487275955885,0,0.0,0.973384335618676,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6950853511765829,0,0.0,1.0,0,0.0,0.9532505091044838,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9963706111962226,0,1.0
20.0,1,1.0,0.1,12.295310372053985,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,1.0,0.939280891508121,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9767936484899117,0,0.0,0.9217910178176231,0,0.0,1.0,0,0.0,0.9168769906816081,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9364664719403955,0,0.0,1.0,0,0.0,1.0,0,0.0,0.910798815570026,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,1.0,0.4756782770235639,1,2.0
25.0,1,6.0,0.46153846153846156,11.929143235744878,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,1.0,0.9601779286676295,0,0.0,1.0,0,0.0,0.975213330661952,0,0.0,1.0,0,0.0,0.5682998276948233,0,0.0,0.9785015994019691,0,0.0,1.0,0,0.0,0.9762821071673775,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9314666600192945,0,0.0,1.0,0,0.0,0.9577353250564122,0,0.0,1.0,0,0.0,0.8858180529719195,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,6.0,0.4639486461208485,1,7.0
30.0,1,4.0,0.26666666666666666,10.541630694058096,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,1.0,0.22895986553754416,0,0.0,0.9720437731868693,0,0.0,1.0,0,0.0,0.975213330661952,1,4.0,0.652247382847113,0,0.0,1.0,0,0.0,1.0,0,0.0,0.996935003509045,0,0.0,1.0,0,0.0,0.9727357320263289,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9367356861882786,0,0.0,1.0,0,0.0,0.45077995527158327,0,0.0,1.0,0,0.0,0.8910846288406236,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.023686507225304437,1,5.0
35.0,3,17.0,0.9444444444444444,10.79625953543993,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9753218481429581,1,5.0,0.00013762308407670046,0,0.0,0.6675560768688819,0,0.0,0.9567261226632401,0,0.0,0.9271654408905109,1,9.0,0.659353785208014,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9367559218848878,0,0.0,1.0,0,0.0,0.6920653210401922,0,0.0,0.9227623979581118,0,0.0,0.9790863528002043,0,0.0,1.0,0,1.0,0.4428958269110163,0,2.0,0.9979973418845638,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,4.0,0.486588643591352,3,21.0
40.0,3,20.0,1.0,9.598141136571487,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,10.0,0.0,1,2.0,0.3230821957240159,0,0.0,0.9329546676866232,0,0.0,0.9559916674239459,0,0.0,0.861383120382699,0,0.0,1.0,0,0.0,0.9590474140060481,0,0.0,0.9755347994949337,0,0.0,1.0,0,0.0,0.5631229807797835,0,0.0,1.0,0,0.0,0.8611326211691746,0,0.0,0.32515648127314134,0,0.0,0.9453566304556558,0,0.0,1.0,0,1.0,0.931869137332863,0,0.0,0.9684716175715419,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,9.0,0.02757568063659758,3,22.0
45.0,8,50.0,2.1739130434782608,7.686396309283492,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,15.0,0.0,1,7.0,0.15061318179818312,0,0.0,1.0,1,2.0,9.718533824561228e-05,1,2.0,0.3310326415509481,0,2.0,0.9728539623109651,0,0.0,1.0,1,2.0,4.606744874326262e-05,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8048937090224761,1,5.0,0.47671419397163667,0,0.0,1.0,0,0.0,0.544890692949098,0,1.0,0.9609055497657445,0,0.0,0.971914664519212,0,0.0,1.0,0,0.0,0.9360892680908299,0,0.0,1.0,0,0.0,0.9246037721169514,2,18.0,0.0,8,54.0
