step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,A2_stopped,A2_accumulated_waiting_time,A2_average_speed,A3_stopped,A3_accumulated_waiting_time,A3_average_speed,A4_stopped,A4_accumulated_waiting_time,A4_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,B4_stopped,B4_accumulated_waiting_time,B4_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,C3_stopped,C3_accumulated_waiting_time,C3_average_speed,C4_stopped,C4_accumulated_waiting_time,C4_average_speed,D0_stopped,D0_accumulated_waiting_time,D0_average_speed,D1_stopped,D1_accumulated_waiting_time,D1_average_speed,D2_stopped,D2_accumulated_waiting_time,D2_average_speed,D3_stopped,D3_accumulated_waiting_time,D3_average_speed,D4_stopped,D4_accumulated_waiting_time,D4_average_speed,E0_stopped,E0_accumulated_waiting_time,E0_average_speed,E1_stopped,E1_accumulated_waiting_time,E1_average_speed,E2_stopped,E2_accumulated_waiting_time,E2_average_speed,E3_stopped,E3_accumulated_waiting_time,E3_average_speed,E4_stopped,E4_accumulated_waiting_time,E4_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,14.065250822492338,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9893062454473872,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9939459088140147,0,0.0
10.0,0,0.0,0.0,10.650319833344977,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.07330826446185003,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9654361867456567,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9904896461527205,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9176161840218949,0,0.0,1.0,0,0.0,0.9245581608269382,0,0.0
15.0,1,4.0,0.5,8.120606516219915,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,4.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9933793494784279,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8124138713692729,0,0.0,1.0,0,0.0,0.9891936209208164,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9860960457548564,0,0.0,1.0,0,0.0,0.012751235019814351,0,0.0,1.0,0,0.0,0.5361941270579937,1,4.0
20.0,3,13.0,1.3,8.216206840642155,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,9.0,0.48271809337282834,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9174980956636838,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,1.0,0.00037780092392985626,0,0.0,1.0,0,0.0,0.9617054887406478,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9202645544004436,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,3.0,0.4951702296908555,3,13.0
25.0,2,14.0,1.0769230769230769,8.633885384085195,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,2.0,0.4617838025859434,0,0.0,0.9090856516349005,0,0.0,0.9923348625353319,0,0.0,1.0,0,0.0,0.9706473823240666,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,6.0,0.0,0,0.0,1.0,0,2.0,0.774859363006601,0,0.0,1.0,0,0.0,1.0,0,0.0,0.00833523478842096,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,8.0,0.6493350351760124,2,18.0
30.0,3,21.0,1.4,9.385455314324696,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,2.0,0.908269109085402,0,0.0,0.9522435120268811,0,0.0,0.9044824317830634,0,0.0,1.0,0,0.0,0.9648036708344511,0,0.0,0.7956795235077636,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,5.0,0.6218855055780598,0,0.0,1.0,0,0.0,0.9797567381507024,1,5.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,13.0,0.0,3,25.0
35.0,2,9.0,0.5,9.622460074126819,0,0.0,1.0,0,0.0,1.0,0,0.0,0.993087745144041,0,2.0,0.8888054691637979,0,0.0,0.8051610878973966,0,0.0,1.0,0,0.0,0.9897263753784605,0,0.0,0.9074219239820904,0,0.0,0.9429806374641877,0,0.0,1.0,0,2.0,0.9945004682992268,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,11.0,0.23881380492186588,0,0.0,1.0,0,0.0,0.6291955870785562,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9254239897370586,2,15.0
40.0,2,5.0,0.25,10.751657485877356,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9090856516349005,0,0.0,0.970063353874197,0,0.0,1.0,0,0.0,0.9559071647035857,0,0.0,0.9120027304996999,0,0.0,0.9629316449877854,0,0.0,0.898859044045538,0,0.0,0.9611098959725266,0,0.0,1.0,0,2.0,0.43626794484494213,0,0.0,1.0,0,0.0,1.0,0,2.0,0.9984756183154092,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7531743092528875,1,6.0,0.7222252348697173,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,1.0,0.0008972016782480965,2,11.0
45.0,4,9.0,0.391304347826087,9.847445908420031,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9893062454473872,0,0.0,0.9271528918541041,0,0.0,0.09694428710323204,0,0.0,1.0,0,0.0,0.9904394220603472,0,0.0,0.9663939102725554,0,0.0,0.9991008092716556,0,0.0,0.9909028879239525,1,1.0,0.4572222250789951,0,0.0,1.0,0,0.0,0.9304341139311507,0,0.0,1.0,0,0.0,1.0,0,2.0,0.9566653429932497,0,2.0,0.9664778632332531,0,0.0,1.0,0,0.0,0.9403029979702973,2,4.0,0.3147438483163101,0,0.0,1.0,0,0.0,0.9920575432733468,0,0.0,1.0,0,0.0,0.9684011788034708,1,6.0,0.0,4,15.0
