step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,14.006018952418296,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9488770334855571,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,9.866575395580107,0,0.0,0.9796592818841962,0,0.0,1.0,0,0.0,0.06209029875311432,0,0.0,0.9525426756340007,0,0.0
15.0,1,1.0,0.125,11.012149327896633,0,0.0,0.9462365987101519,0,0.0,1.0,0,0.0,0.9379608671088646,1,1.0,0.001347683495278793,1,1.0
20.0,1,6.0,0.6,10.6371865359196,0,2.0,0.9277169939405007,0,0.0,0.9822008757263196,0,0.0,0.7358774783708074,1,6.0,0.0,1,8.0
25.0,1,11.0,0.8461538461538461,10.756269304765622,0,2.0,0.9365128908607021,0,0.0,0.9534380683483452,0,0.0,0.6005116217255182,1,11.0,0.5,1,13.0
30.0,1,16.0,1.2307692307692308,10.525947654973116,0,4.0,0.8328996587773361,0,0.0,0.9893038531737212,0,0.0,1.0,1,16.0,0.4919686305609715,1,20.0
35.0,3,25.0,1.6666666666666667,9.346000675658695,2,8.0,0.6833385003379407,0,0.0,0.705530912269009,0,0.0,1.0,1,21.0,0.0,3,29.0
40.0,3,40.0,2.6666666666666665,8.59625375303339,2,18.0,0.5343330353761175,0,0.0,0.636536935179284,0,0.0,1.0,1,26.0,0.6561258811131401,3,44.0
45.0,4,30.0,1.875,6.525337598264535,3,27.0,0.005600694003796981,1,5.0,0.4345353156584214,0,0.0,0.9742811672704643,0,0.0,0.8561028347751792,4,32.0
