step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,A2_stopped,A2_accumulated_waiting_time,A2_average_speed,A3_stopped,A3_accumulated_waiting_time,A3_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,B2_stopped,B2_accumulated_waiting_time,B2_average_speed,B3_stopped,B3_accumulated_waiting_time,B3_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,C1_stopped,C1_accumulated_waiting_time,C1_average_speed,C2_stopped,C2_accumulated_waiting_time,C2_average_speed,C3_stopped,C3_accumulated_waiting_time,C3_average_speed,D0_stopped,D0_accumulated_waiting_time,D0_average_speed,D1_stopped,D1_accumulated_waiting_time,D1_average_speed,D2_stopped,D2_accumulated_waiting_time,D2_average_speed,D3_stopped,D3_accumulated_waiting_time,D3_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,14.544491125992195,0,0.0,0.9606336132599288,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9640433153762,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,1,1.0,0.2,10.944600007079531,0,0.0,1.0,0,0.0,0.9406727439643228,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9435713716183719,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,1.0,0.46723821601579063,0,0.0,1.0,0,0.0,0.9795351667309424,0,0.0,1.0,1,1.0
15.0,1,6.0,0.75,9.278864308780875,0,0.0,1.0,0,0.0,0.9337947318536718,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.07623961271114361,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,6.0,0.5697875097265673,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9597225343449372,1,6.0
20.0,2,16.0,1.6,10.593128222769778,0,0.0,1.0,0,0.0,0.9820177198781546,0,0.0,1.0,0,0.0,0.935028160887351,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,5.0,0.00012876572921252175,0,0.0,0.7315223386238916,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,1,11.0,0.4847056036264739,0,0.0,0.9322176675179563,0,0.0,1.0,0,0.0,0.9208614899290275,2,16.0
25.0,2,18.0,1.3846153846153846,9.889175829670394,0,0.0,1.0,0,0.0,0.7715737821929568,0,0.0,0.9606336132599288,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9517909383734944,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,18.0,0.0002446425216561085,0,0.0,0.9784893631624206,0,0.0,1.0,0,0.0,0.7872768659436635,2,18.0
30.0,3,33.0,2.2,9.008539011366556,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7460713909837131,0,0.0,0.9375634480225753,0,0.0,1.0,0,0.0,1.0,0,2.0,0.9435713716183719,0,0.0,0.9011318654421543,0,0.0,0.6858097544546059,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,2,28.0,0.0,0,0.0,0.9795351667309424,0,0.0,1.0,1,5.0,0.5636221734322123,3,35.0
35.0,4,15.0,0.8333333333333334,8.748743056799082,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7702583058064983,0,0.0,0.733550266964599,0,0.0,0.9545575787831423,0,0.0,1.0,0,2.0,0.9820924466905667,0,0.0,0.9378650501437216,1,3.0,0.0006477380494923009,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.97244398528087,0,0.0,1.0,0,0.0,0.9314474137397513,3,12.0,0.23293328875644756,4,17.0
40.0,3,12.0,0.6,9.143623604520428,0,0.0,1.0,0,0.0,1.0,1,3.0,0.38211302737265473,0,0.0,0.9205185044694735,0,0.0,0.9330743260596083,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9379659020518147,1,9.0,0.6602570057183632,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9491085362597045,0,0.0,1.0,0,2.0,0.5601580642974887,1,5.0,0.11722950674564445,3,19.0
45.0,5,31.0,1.3478260869565217,8.38699624577622,0,0.0,1.0,0,0.0,1.0,2,11.0,0.013199233623455773,0,0.0,0.36414432959051446,0,0.0,0.9573181454872587,0,0.0,0.9278464310703898,0,0.0,0.9736646924463022,0,0.0,0.5575431944465165,1,14.0,0.6336811040182792,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6156553929301489,1,1.0,0.4575671409613427,0,0.0,0.9438457551161609,0,4.0,0.9058052449367425,1,6.0,0.0,5,36.0
50.0,7,47.0,1.88,7.2589786833157595,0,0.0,0.9316930857260758,0,0.0,1.0,3,26.0,5.757191434856797e-06,1,3.0,0.4691462049485094,0,0.0,1.0,0,0.0,0.9961172007174501,0,0.0,0.969233848860459,2,7.0,0.3223045952913096,0,4.0,0.4480926064859267,0,0.0,0.9811367813782005,0,0.0,1.0,0,0.0,0.9810579065496114,0,0.0,0.948488431947778,0,0.0,0.09295539326315239,0,4.0,0.7222823096198364,1,11.0,0.0,7,55.0
55.0,7,37.0,1.3214285714285714,7.741509608182694,0,0.0,0.9203736636391106,0,0.0,1.0,0,8.0,0.18924071506204498,1,8.0,0.4901421951471057,0,0.0,1.0,0,0.0,0.3630600409171911,0,0.0,1.0,2,17.0,0.0,2,11.0,0.32394159254638183,0,2.0,0.9273558412968511,0,0.0,0.9363037029006667,0,0.0,0.9379383922065663,0,0.0,0.7720300951246861,1,4.0,1.846465289479113e-05,0,2.0,0.7925341033703004,0,0.0,1.0,6,52.0
60.0,3,12.0,0.4,8.912048488564404,0,0.0,0.7899770155452969,0,2.0,0.9679340168172195,0,0.0,1.0,0,0.0,0.9189568504684895,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9507669193170325,1,7.0,0.4697428181620014,0,2.0,0.662828534816782,0,0.0,0.9480176888764784,0,0.0,0.7478046162232087,0,0.0,0.9419958773967689,1,11.0,0.6546817441553127,0,2.0,0.9356702056871664,0,0.0,1.0,2,24.0
65.0,4,25.0,0.78125,10.801767934681271,0,0.0,1.0,0,0.0,0.9289106322176979,0,0.0,0.9560600156870612,1,6.0,0.47988500119619437,0,2.0,0.9575457812479741,0,0.0,1.0,0,2.0,0.9432353693559906,0,2.0,0.957511798858224,1,10.0,0.6361758560710431,0,2.0,0.9023843836478599,0,0.0,0.8151232134753839,1,2.0,0.6144249428970333,0,0.0,1.0,1,16.0,0.6364304506545191,0,2.0,0.9369594459499907,0,0.0,0.9226928722246357,4,44.0
70.0,3,15.0,0.4838709677419355,9.939121344865468,0,0.0,1.0,0,0.0,0.9562826240707883,0,0.0,1.0,0,4.0,0.8030941509245677,0,2.0,0.9534437539205346,0,0.0,1.0,0,0.0,0.9434881531299945,0,2.0,0.6595068577611443,1,15.0,0.6506918691392221,1,4.0,0.00023188597418141675,1,2.0,0.6240000977305821,0,0.0,0.9333920253774312,0,0.0,1.0,0,2.0,0.7776175545698399,0,2.0,0.6207070696881083,0,0.0,1.0,3,33.0
