step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,A1_stopped,A1_accumulated_waiting_time,A1_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,B1_stopped,B1_accumulated_waiting_time,B1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.44334147601734,0,0.0,1.0,0,0.0,1.0,0,0.0,0.952407863461312,0,0.0,0.940379913485048,0,0.0
10.0,1,2.0,0.4,9.498517590065438,0,0.0,0.9102082201902787,0,0.0,1.0,1,2.0,0.4419684105459872,0,0.0,0.9258533249907248,1,2.0
15.0,0,0.0,0.0,9.606223455336025,0,0.0,0.8797493682807492,0,0.0,1.0,0,0.0,0.9844003827970337,0,0.0,0.2691332250453393,0,0.0
20.0,1,5.0,0.5,10.205490821321765,0,2.0,0.9740505799105031,0,0.0,0.9293415561493774,0,0.0,0.7349305289540663,1,5.0,0.0,1,7.0
25.0,1,2.0,0.15384615384615385,9.884516211870679,0,2.0,0.9000203700882037,0,2.0,0.6276746259402778,1,2.0,0.4362904275563981,0,0.0,0.9806805923310777,1,6.0
30.0,1,7.0,0.5,7.150483472811401,0,4.0,0.5653961665782149,0,0.0,0.568685792415713,1,7.0,0.0,0,0.0,0.9231089688373584,1,11.0
35.0,4,23.0,1.3529411764705883,8.55751227694236,2,14.0,0.553156561567129,0,0.0,0.9260426689626017,1,12.0,0.0,1,2.0,0.0005527410372633754,4,28.0
40.0,3,25.0,1.5625,7.747138924557593,0,3.0,0.9847916035055632,1,1.0,0.5634936858935471,1,17.0,0.0,1,7.0,0.0,3,28.0
45.0,3,22.0,1.2941176470588236,7.754151720917366,0,1.0,0.5343445142809904,2,10.0,0.12179098683541857,0,0.0,0.923211428784476,1,12.0,0.6348980201874513,3,23.0
50.0,2,21.0,1.3125,7.813549770348638,1,6.0,0.47223612381173274,0,6.0,0.3997491273496886,0,0.0,0.8260060680216502,1,17.0,0.4987679876609051,2,29.0
55.0,2,13.0,0.7222222222222222,9.513862522278401,2,15.0,0.5143530414006559,0,2.0,0.6861852669684279,0,0.0,0.9228931187909817,0,2.0,0.9661847361333966,2,19.0
60.0,4,6.0,0.3,8.962922259705188,1,10.0,0.6299352149461871,0,2.0,0.9457992727586547,1,2.0,0.4470170278735655,1,3.0,0.7559470646568371,3,17.0
65.0,3,17.0,0.7391304347826086,9.098321038816922,2,18.0,0.44651523853927505,0,3.0,0.9744068073839558,0,0.0,0.9816331658275002,0,0.0,0.9546057554682316,2,21.0
70.0,0,0.0,0.0,10.597089735192673,0,18.0,0.6188050411154408,0,11.0,0.8068741170467794,0,0.0,0.8631739628957866,0,0.0,0.6612470773156914,0,29.0
75.0,5,13.0,0.5416666666666666,9.178549972016027,2,22.0,0.4817625203089173,1,12.0,0.6713846150597438,0,0.0,0.8052388129747856,2,8.0,0.264211820600566,5,42.0
80.0,6,27.0,1.173913043478261,8.141687726563474,2,32.0,0.4201807321409451,2,21.0,0.3603664079725594,0,0.0,0.9153093175918607,0,0.0,0.9818890295544552,4,53.0
85.0,7,51.0,2.04,8.02075817332104,3,44.0,0.47722248016232277,4,31.0,0.25293270137134866,0,2.0,0.8781951939336176,0,0.0,0.998110277222458,7,77.0
90.0,8,87.0,3.625,6.883659693109549,3,56.0,0.5660004151336306,4,51.0,0.41131441592925844,1,3.0,0.35204634886004993,0,0.0,0.9193337251806593,8,110.0
95.0,0,0.0,0.0,9.002267087856364,0,21.0,0.6552530670315874,0,15.0,0.7902188694478106,0,2.0,0.9911877615239634,0,0.0,0.8176845764202383,0,38.0
100.0,1,5.0,0.18518518518518517,10.09402953150864,1,5.0,0.43655380844848146,0,4.0,0.6561789543497619,0,2.0,0.7622949054927722,0,2.0,0.9521549354334233,1,13.0
105.0,2,5.0,0.20833333333333334,9.904953810887296,0,4.0,0.443389073381832,2,10.0,0.13113921826451805,0,2.0,0.9131794943003666,0,2.0,0.9008502805753603,2,18.0
110.0,0,0.0,0.0,11.182392454046054,0,4.0,0.9921986382660225,0,1.0,0.769106620848944,0,2.0,0.8983923264684996,0,2.0,0.47127848166304787,0,9.0
115.0,4,8.0,0.36363636363636365,10.302898416468384,1,1.0,0.0013512921781425192,0,1.0,0.9397265772080183,1,1.0,0.44257341946984385,2,6.0,0.30716536771233277,4,9.0
120.0,3,17.0,0.85,9.116520479946963,0,0.0,1.0,1,2.0,0.5681816732480134,0,0.0,0.6661000684511662,2,16.0,0.4751556104330313,3,18.0
125.0,3,27.0,1.35,9.469079659264688,0,2.0,0.8090691994507384,0,2.0,0.6954592435145364,0,0.0,0.8039957728887643,2,26.0,0.35905454548709037,2,30.0
130.0,3,37.0,2.0555555555555554,9.089401428957348,0,2.0,0.9848781262682444,0,2.0,0.8368978108986407,1,1.0,0.4658551548302368,2,40.0,0.38836471087987595,3,45.0
135.0,6,63.0,3.3157894736842106,8.97019259837132,0,2.0,0.9326410070378591,0,0.0,0.7859719569992295,1,6.0,0.7241142615336676,4,58.0,0.41546489906915385,5,66.0
